S0701_C01_001E,S0701_C01_005E,S0701_C01_007E,S0701_C01_011E,S0701_C01_041E,S0701_C01_035E,S0701_C01_037E,state,year,B06009_005E
2957797.0,375578.0,389310.0,37.1,265677.0,591240.0,248488.0,28,2013,248488.0
5973448.0,796534.0,839236.0,38.6,485917.0,1276285.0,685991.0,29,2013,685991.0
1003013.0,126517.0,134116.0,40.2,87202.0,200303.0,135518.0,30,2013,135518.0
1842900.0,250749.0,245360.0,36.9,135830.0,329595.0,238160.0,31,2013,238160.0
2757365.0,397867.0,378190.0,37.5,195156.0,532452.0,282283.0,32,2013,282283.0
1310978.0,150082.0,215908.0,42.7,93055.0,270826.0,202495.0,33,2013,202495.0
8803679.0,1139704.0,1352589.0,39.9,552045.0,1751336.0,1374616.0,34,2013,1374616.0
2059689.0,270201.0,267999.0,37.5,169007.0,361553.0,204226.0,35,2013,204226.0
19431954.0,2795995.0,2817419.0,38.6,1321484.0,3594712.0,2589891.0,36,2013,2589891.0
9737365.0,1269513.0,1353614.0,38.3,785113.0,1743595.0,1211484.0,37,2013,1211484.0
714804.0,101662.0,90992.0,35.9,50010.0,128539.0,93470.0,38,2013,93470.0
11439593.0,1446230.0,1634139.0,39.8,874772.0,2668826.0,1279678.0,39,2013,1279678.0
3801521.0,522612.0,493982.0,36.7,295332.0,809792.0,402956.0,40,2013,402956.0
3888216.0,534850.0,512733.0,39.5,305367.0,655870.0,521031.0,41,2013,521031.0
12639493.0,1600329.0,1840649.0,41.0,963049.0,3209801.0,1540228.0,42,2013,1540228.0
1040986.0,134876.0,155074.0,40.3,84113.0,191854.0,142598.0,44,2013,142598.0
4720602.0,607844.0,651143.0,39.1,393598.0,939047.0,529944.0,45,2013,529944.0
832703.0,110717.0,109277.0,37.3,62731.0,172701.0,104240.0,46,2013,104240.0
6419226.0,842934.0,895569.0,39.0,548157.0,1437758.0,681475.0,47,2013,681475.0
26087349.0,3804859.0,3440186.0,34.5,1810212.0,4207669.0,3044921.0,48,2013,3044921.0
621256.0,70428.0,95060.0,42.9,51449.0,133439.0,93427.0,50,2013,93427.0
2854667.0,439707.0,304801.0,30.7,177654.0,382199.0,348502.0,49,2013,348502.0
8163664.0,1152347.0,1183017.0,38.0,528517.0,1380486.0,1172309.0,51,2013,1172309.0
6888552.0,992349.0,946219.0,37.8,438694.0,1095589.0,984473.0,53,2013,984473.0
1837863.0,213278.0,254645.0,42.1,156843.0,520535.0,146732.0,54,2013,146732.0
5681024.0,733172.0,832482.0,39.5,436272.0,1243158.0,711851.0,55,2013,711851.0
575933.0,81598.0,74575.0,37.1,41317.0,109099.0,68225.0,56,2013,68225.0
,,,,,,,72,2013,
4781296.0,612773.0,660842.0,38.7,408152.0,1001134.0,476016.0,01,2013,476016.0
725193.0,114008.0,101153.0,33.6,44864.0,129029.0,84038.0,02,2013,84038.0
6543362.0,880940.0,834747.0,37.3,483770.0,1079149.0,741982.0,04,2013,741982.0
2923642.0,383853.0,388763.0,38.3,268171.0,691814.0,262755.0,05,2013,262755.0
