,playername,position1,position2,team,gp,g,a,tp,ppg,pim,+/-,link
0,Nikita Kucherov ,RW,RW,Tampa Bay Lightning,69,33,76,109,1.58,43,21,https://www.eliteprospects.com/player/77237/nikita-kucherov
1,Nathan MacKinnon ,C,RW,Colorado Avalanche,74,30,79,109,1.47,39,27,https://www.eliteprospects.com/player/99204/nathan-mackinnon
2,Leon Draisaitl ,C,W,Edmonton Oilers,69,51,53,104,1.51,34,33,https://www.eliteprospects.com/player/71913/leon-draisaitl
3,Jack Eichel ,C,C,Vegas Golden Knights,72,27,66,93,1.29,6,35,https://www.eliteprospects.com/player/191959/jack-eichel
4,Mitchell Marner ,RW,C,Toronto Maple Leafs,73,23,68,91,1.25,14,10,https://www.eliteprospects.com/player/223194/mitchell-marner
5,Kyle Connor ,LW,LW,Winnipeg Jets,74,38,52,90,1.22,25,16,https://www.eliteprospects.com/player/177671/kyle-connor
6,Connor McDavid ,C,LW,Edmonton Oilers,63,26,64,90,1.43,31,11,https://www.eliteprospects.com/player/183442/connor-mcdavid
7,David Pastrnak ,RW,LW,Boston Bruins,74,35,51,86,1.16,38,-10,https://www.eliteprospects.com/player/130383/david-pastrnak
8,Jesper Bratt ,LW,RW,New Jersey Devils,75,20,66,86,1.15,16,8,https://www.eliteprospects.com/player/117698/jesper-bratt
9,Cale Makar ,D,D,Colorado Avalanche,74,27,57,84,1.14,14,29,https://www.eliteprospects.com/player/199655/cale-makar
10,Mark Scheifele ,C,C,Winnipeg Jets,74,36,45,81,1.09,57,12,https://www.eliteprospects.com/player/75379/mark-scheifele
11,Brandon Hagel ,LW,LW,Tampa Bay Lightning,73,33,48,81,1.11,50,30,https://www.eliteprospects.com/player/161843/brandon-hagel
12,Mikko Rantanen ,W,C,,73,31,50,81,1.11,56,13,https://www.eliteprospects.com/player/91186/mikko-rantanen
13,Sidney Crosby ,C,C,Pittsburgh Penguins,73,27,54,81,1.11,29,-23,https://www.eliteprospects.com/player/6146/sidney-crosby
14,Martin Necas ,C,RW,,74,26,54,80,1.08,14,8,https://www.eliteprospects.com/player/237071/martin-necas
15,William Nylander ,W,C,Toronto Maple Leafs,74,42,37,79,1.07,24,6,https://www.eliteprospects.com/player/38703/william-nylander
16,Artemi Panarin ,LW,LW,New York Rangers,72,33,46,79,1.10,16,-3,https://www.eliteprospects.com/player/24664/artemi-panarin
17,Clayton Keller ,RW,LW,Utah Hockey Club,73,24,55,79,1.08,26,-12,https://www.eliteprospects.com/player/226432/clayton-keller
18,Nick Suzuki ,C,C,Montreal Canadiens,73,23,54,77,1.05,6,10,https://www.eliteprospects.com/player/300436/nick-suzuki
19,Sam Reinhart ,C,RW,Florida Panthers,73,36,40,76,1.04,27,8,https://www.eliteprospects.com/player/95032/sam-reinhart
20,Jason Robertson ,LW,RW,Dallas Stars,73,33,42,75,1.03,14,12,https://www.eliteprospects.com/player/201455/jason-robertson
21,Matt Duchene ,C,RW,Dallas Stars,73,28,46,74,1.01,10,14,https://www.eliteprospects.com/player/12571/matt-duchene
22,Brayden Point ,C,C,Tampa Bay Lightning,68,38,35,73,1.07,2,15,https://www.eliteprospects.com/player/62204/brayden-point
23,Lucas Raymond ,RW,RW,Detroit Red Wings,73,26,47,73,1.00,18,-12,https://www.eliteprospects.com/player/350702/lucas-raymond
24,Jake Guentzel ,LW,LW,Tampa Bay Lightning,72,37,35,72,1.00,22,18,https://www.eliteprospects.com/player/199870/jake-guentzel
25,Zach Werenski ,D,D,Columbus Blue Jackets,71,20,52,72,1.01,29,9,https://www.eliteprospects.com/player/186311/zach-werenski
26,Travis Konecny ,RW,LW,Philadelphia Flyers,75,24,47,71,0.95,51,-13,https://www.eliteprospects.com/player/205148/travis-konecny
27,Tim Stutzle ,LW,C,Ottawa Senators,73,21,50,71,0.97,34,-1,https://www.eliteprospects.com/player/348134/tim-stutzle
28,Jack Hughes ,C,LW,New Jersey Devils,62,27,43,70,1.13,18,12,https://www.eliteprospects.com/player/305432/jack-hughes
29,Dylan Strome ,C,C,Washington Capitals,73,23,47,70,0.96,28,4,https://www.eliteprospects.com/player/228107/dylan-strome
30,Quinn Hughes ,D,D,Vancouver Canucks,60,16,54,70,1.17,29,6,https://www.eliteprospects.com/player/201671/quinn-hughes
31,John Tavares ,C,LW,Toronto Maple Leafs,67,35,34,69,1.03,38,7,https://www.eliteprospects.com/player/9223/john-tavares
32,Sebastian Aho ,C,W,Carolina Hurricanes,72,28,41,69,0.96,44,8,https://www.eliteprospects.com/player/152111/sebastian-aho
33,Auston Matthews ,C,LW,Toronto Maple Leafs,59,29,39,68,1.15,20,3,https://www.eliteprospects.com/player/199898/auston-matthews
34,Robert Thomas ,C,RW,St. Louis Blues,63,19,49,68,1.08,20,16,https://www.eliteprospects.com/player/201681/robert-thomas
35,Filip Forsberg ,W,C,Nashville Predators,73,28,39,67,0.92,42,-18,https://www.eliteprospects.com/player/29626/filip-forsberg
36,Aleksander Barkov ,C,C,Florida Panthers,63,19,48,67,1.06,14,-1,https://www.eliteprospects.com/player/50044/aleksander-barkov
37,Wyatt Johnston ,C,RW,Dallas Stars,73,29,37,66,0.90,14,8,https://www.eliteprospects.com/player/201871/wyatt-johnston
38,Kirill Marchenko ,RW,LW,Columbus Blue Jackets,69,28,38,66,0.96,20,25,https://www.eliteprospects.com/player/392162/kirill-marchenko
39,Mark Stone ,RW,RW,Vegas Golden Knights,59,19,47,66,1.12,12,24,https://www.eliteprospects.com/player/32806/mark-stone
40,Tage Thompson ,C,RW,Buffalo Sabres,67,38,27,65,0.97,33,-2,https://www.eliteprospects.com/player/301349/tage-thompson
41,Alexei Protas ,C,C,Washington Capitals,73,30,35,65,0.89,18,40,https://www.eliteprospects.com/player/517438/alexei-protas
42,Rickard Rakell ,W,C,Pittsburgh Penguins,74,32,32,64,0.86,12,-20,https://www.eliteprospects.com/player/17435/rickard-rakell
43,Roope Hintz ,C,LW,Dallas Stars,67,27,37,64,0.96,24,19,https://www.eliteprospects.com/player/92117/roope-hintz
44,Alexander Ovechkin ,LW,LW,Washington Capitals,57,37,26,63,1.11,14,17,https://www.eliteprospects.com/player/4230/alexander-ovechkin
45,Cole Caufield ,LW,RW,Montreal Canadiens,73,34,29,63,0.86,14,5,https://www.eliteprospects.com/player/316168/cole-caufield
46,Nikolaj Ehlers ,LW,LW,Winnipeg Jets,65,24,39,63,0.97,10,15,https://www.eliteprospects.com/player/66581/nikolaj-ehlers
47,Nico Hischier ,C,LW,New Jersey Devils,69,33,29,62,0.90,20,11,https://www.eliteprospects.com/player/116244/nico-hischier
48,Alex DeBrincat ,LW,RW,Detroit Red Wings,73,33,29,62,0.85,29,-15,https://www.eliteprospects.com/player/231275/alex-debrincat
49,Jordan Kyrou ,C,RW,St. Louis Blues,75,31,31,62,0.83,18,21,https://www.eliteprospects.com/player/269034/jordan-kyrou
